Starting Coordinate; End Coordinate; True Distance(km) 
[-20.00001, 160.0];[-24.799999, 153.399979];863.1244431841824
[-20.00001, 160.0];[-19.176629, 156.042368];761.1361043400498
[-20.00001, 160.0];[-10.00002, 160.0];1111.7084102912092
[-20.00001, 160.0];[-17.26822, 162.872728];772.1370519095886
[-23.526008, 163.543572];[-24.153928, 164.174622];94.83879202619379
[-23.526008, 163.543572];[-23.590118, 163.38663];17.51323915414274
[-24.153928, 164.174622];[-24.560441, 164.583162];61.285265935562315
[-24.153928, 164.174622];[-24.217987, 163.978913];21.090873816198187
[-24.560441, 164.583162];[-25.278755, 165.305056];108.06983548717194
[-24.560441, 164.583162];[-23.83028, 165.163405];100.27650594697467
[-25.278755, 165.305056];[-23.0, 167.700012];351.06875149367704
[-25.278755, 165.305056];[-30.00001, 169.999985];869.4594912102726
[-13.144327, 174.075655];[-13.250557, 173.944897];18.4366871635197
[-13.144327, 174.075655];[-13.243778, 174.130135];12.532993032565056
[-13.144327, 174.075655];[-20.999981, -175.5];1408.6672012916265
[-13.144327, 174.075655];[-20.951269, -175.296936];1422.5595625960916
[-13.144327, 174.075655];[-14.50584, -175.890411];1095.1208231147941
[-13.144327, 174.075655];[-12.798694, -173.658682];1331.207423610877
[-13.144327, 174.075655];[-11.63368, -175.816116];1111.7393258399736
[-13.144327, 174.075655];[-14.357706, -170.771619];1643.9393200604054
[-13.144327, 174.075655];[-14.36573, -170.75676];1645.5843063860907
[-13.144327, 174.075655];[-14.39999, -170.700012];1651.8899130324974
[-13.144327, 174.075655];[-13.77725, -171.754608];1535.6901010897611
[-13.144327, 174.075655];[-14.73458, -171.667786];1550.3211136011062
[-13.144327, 174.075655];[-19.181589, -170.096664];1818.4972640098176
[-13.144327, 174.075655];[-14.35031, -170.692505];1652.422615781594
[-13.144327, 174.075655];[-5.01902, -175.038376];1495.7015052744637
[-13.144327, 174.075655];[-7.5167, -172.53363];1592.577756173445
[-13.144327, 174.075655];[-17.71505, -173.056183];1470.2493649480855
[-13.144327, 174.075655];[-3.83334, -174.0];1667.3950445862743
[-13.250557, 173.944897];[-13.941637, 173.094245];119.82284227717439
[-13.250557, 173.944897];[-13.30243, 173.973419];6.542022350341633
[-13.250557, 173.944897];[-20.999981, -175.5];1412.2322527158044
[-13.250557, 173.944897];[-20.951269, -175.296936];1426.3389937985337
[-13.250557, 173.944897];[-14.50584, -175.890411];1107.3429014430874
[-13.250557, 173.944897];[-12.798694, -173.658682];1345.4811332747647
[-13.250557, 173.944897];[-11.63368, -175.816116];1127.371588267038
[-13.250557, 173.944897];[-14.357706, -170.771619];1656.7480097001173
[-13.250557, 173.944897];[-14.36573, -170.75676];1658.3864039432058
[-13.250557, 173.944897];[-14.39999, -170.700012];1664.6636835803413
[-13.250557, 173.944897];[-13.77725, -171.754608];1549.0009068217291
[-13.250557, 173.944897];[-14.73458, -171.667786];1562.7271328994245
[-13.250557, 173.944897];[-19.181589, -170.096664];1826.8417599314596
[-13.250557, 173.944897];[-14.35031, -170.692505];1665.2410200732977
[-13.250557, 173.944897];[-5.01902, -175.038376];1514.0751961023307
[-13.250557, 173.944897];[-7.5167, -172.53363];1610.0997621414028
[-13.250557, 173.944897];[-17.71505, -173.056183];1479.142248166996
[-13.250557, 173.944897];[-3.83334, -174.0];1685.7889816145644
[-13.941637, 173.094245];[-14.028382, 173.162341];12.125332103725531
[-13.941637, 173.094245];[-20.999981, -175.5];1440.517102930466
[-13.941637, 173.094245];[-20.951269, -175.296936];1455.9325771905594
[-13.941637, 173.094245];[-14.50584, -175.890411];1190.3924836493877
[-13.941637, 173.094245];[-12.798694, -173.658682];1440.307596954002
[-13.941637, 173.094245];[-11.63368, -175.816116];1230.6630505967607
[-13.941637, 173.094245];[-14.357706, -170.771619];1742.1583598797479
[-13.941637, 173.094245];[-14.36573, -170.75676];1743.7537873753563
[-13.941637, 173.094245];[-14.39999, -170.700012];1749.847518781084
[-13.941637, 173.094245];[-13.77725, -171.754608];1637.653544542964
[-13.941637, 173.094245];[-14.73458, -171.667786];1645.8086215000765
[-13.941637, 173.094245];[-19.181589, -170.096664];1884.1744671228257
[-13.941637, 173.094245];[-14.35031, -170.692505];1750.69896277722
[-13.941637, 173.094245];[-5.01902, -175.038376];1633.4905806342247
[-13.941637, 173.094245];[-7.5167, -172.53363];1724.3255096109526
[-13.941637, 173.094245];[-17.71505, -173.056183];1540.6985143263616
[-13.941637, 173.094245];[-18.0, 168.100021];1331.880833319513
[-18.0, 168.100021];[-10.00002, 170.0];83.56144022494868
[-10.00002, 170.0];[-13.552116, 172.788464];498.10301091332906
[-10.00002, 170.0];[-9.773141, 172.032871];224.11232827271414
[-10.00002, 170.0];[-7.384893, 170.736168];301.835880897378
[-10.00002, 170.0];[-18.0, 168.100021];912.9691390142646
[-10.00002, 170.0];[-10.00002, 160.0];1095.0658292706762
[52.499981, 4.29999];[53.499981, 4.89999];118.22101930283365
